Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
71,71,2015-03-22,26-244,LAC,,NOP,W (+7),1,37:11,5,7,.714,0,0,,2,7,.286,8,8,16,1,1,3,3,5,12,13.9,+14,jordade01
72,72,2015-03-25,26-247,LAC,@,NYK,W (+31),1,28:29,7,7,1.000,0,0,,0,2,.000,3,7,10,1,1,5,0,1,14,20.1,+35,jordade01
73,73,2015-03-27,26-249,LAC,@,PHI,W (+21),1,27:36,6,10,.600,0,0,,5,17,.294,7,13,20,0,0,2,0,2,17,17.0,+26,jordade01
74,74,2015-03-29,26-251,LAC,@,BOS,W (+13),1,29:16,6,8,.750,0,0,,3,15,.200,6,8,14,0,1,0,1,4,15,12.0,+23,jordade01
75,75,2015-03-31,26-253,LAC,,GSW,L (-4),1,39:31,1,5,.200,0,0,,3,6,.500,4,11,15,0,0,3,0,4,5,7.3,-2,jordade01
76,76,2015-04-01,26-254,LAC,@,POR,W (+4),1,40:00,4,5,.800,0,0,,5,10,.500,3,10,13,3,1,1,0,3,13,16.8,+5,jordade01
77,77,2015-04-04,26-257,LAC,@,DEN,W (+15),1,33:52,3,6,.500,0,0,,8,14,.571,7,15,22,2,0,3,1,1,14,20.1,+15,jordade01
78,78,2015-04-05,26-258,LAC,@,LAL,W (+28),1,29:43,7,9,.778,0,0,,2,8,.250,3,8,11,0,4,1,2,3,16,16.1,+27,jordade01
79,79,2015-04-07,26-260,LAC,,LAL,W (+5),1,32:48,4,5,.800,0,0,,0,2,.000,3,14,17,0,0,3,2,3,8,10.5,+10,jordade01
80,80,2015-04-11,26-264,LAC,,MEM,W (+8),1,37:00,6,7,.857,0,0,,4,5,.800,6,10,16,0,3,2,0,3,16,23.5,+17,jordade01
81,81,2015-04-13,26-266,LAC,,DEN,W (+7),1,35:50,8,12,.667,0,0,,4,10,.400,8,13,21,3,1,4,1,2,20,26.0,+12,jordade01
82,82,2015-04-14,26-267,LAC,@,PHO,W (+11),1,31:26,6,7,.857,0,0,,1,3,.333,6,8,14,0,0,2,3,3,13,13.5,+22,jordade01
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,28-030,BRK,@,BOS,L (-16),0,6:20,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-0.8,-12,jordaje01
2,2,2014-11-01,28-033,BRK,@,DET,W (+12),0,11:53,3,3,1.000,0,0,,0,0,,4,1,5,0,0,1,1,1,6,7.5,+11,jordaje01
3,3,2014-11-03,28-035,BRK,,OKC,W (+31),0,11:14,2,3,.667,0,0,,0,0,,2,0,2,0,1,0,2,1,4,2.7,+6,jordaje01
4,4,2014-11-05,28-037,BRK,,MIN,L (-7),0,1:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3,jordaje01
5,5,2014-11-07,28-039,BRK,,NYK,W (+11),0,2:13,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,1,0,-1.4,-5,jordaje01
9,6,2014-11-15,28-047,BRK,@,POR,L (-10),0,6:52,0,0,,0,0,,2,2,1.000,2,1,3,1,0,1,0,1,2,4.7,-9,jordaje01
10,7,2014-11-17,28-049,BRK,,MIA,L (-12),0,8:18,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,1,4,3.3,+3,jordaje01
11,8,2014-11-19,28-051,BRK,,MIL,L (-4),0,7:12,1,1,1.000,0,0,,0,0,,1,0,1,1,0,1,1,2,2,2.0,+7,jordaje01
12,9,2014-11-21,28-053,BRK,@,OKC,W (+2),0,13:08,1,1,1.000,0,0,,2,2,1.000,2,2,4,1,0,1,1,2,4,5.3,+4,jordaje01
13,10,2014-11-22,28-054,BRK,@,SAS,L (-12),0,13:17,2,3,.667,0,0,,1,1,1.000,0,5,5,0,0,0,0,0,5,5.2,+4,jordaje01
14,11,2014-11-26,28-058,BRK,@,PHI,W (+8),0,4:06,0,1,.000,0,0,,0,0,,1,0,1,0,0,1,0,1,0,0.3,-6,jordaje01
15,12,2014-11-30,28-062,BRK,,CHI,L (-18),0,13:19,2,4,.500,0,0,,0,0,,0,2,2,2,1,0,1,3,4,2.8,-4,jordaje01
16,13,2014-12-02,28-064,BRK,@,NYK,W (+5),0,0:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,jordaje01
17,14,2014-12-03,28-065,BRK,,SAS,W (+2),0,7:54,1,1,1.000,0,0,,0,0,,1,1,2,0,1,0,0,0,2,3.7,-1,jordaje01
18,15,2014-12-05,28-067,BRK,,ATL,L (-23),0,9:11,1,1,1.000,0,0,,1,1,1.000,0,2,2,0,0,0,1,2,3,1.5,+3,jordaje01
19,16,2014-12-08,28-070,BRK,,CLE,L (-22),0,25:53,6,8,.750,0,0,,0,0,,2,1,3,2,1,1,3,4,12,9.0,-30,jordaje01
20,17,2014-12-10,28-072,BRK,@,CHI,L (-25),0,28:34,3,7,.429,0,0,,4,4,1.000,4,2,6,0,1,1,0,3,10,10.2,-11,jordaje01
22,18,2014-12-13,28-075,BRK,@,CHO,W (+27),0,7:19,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,0.9,-1,jordaje01
23,19,2014-12-16,28-078,BRK,,MIA,L (-4),0,5:26,1,2,.500,0,0,,1,2,.500,3,0,3,0,0,0,1,2,3,1.9,-4,jordaje01
24,20,2014-12-17,28-079,BRK,@,TOR,L (-16),0,12:34,1,3,.333,0,0,,4,5,.800,4,3,7,0,0,2,1,2,6,7.2,-9,jordaje01
25,21,2014-12-19,28-081,BRK,@,CLE,L (-4),0,9:45,2,3,.667,0,0,,0,1,.000,0,1,1,0,0,2,0,2,4,3.2,-12,jordaje01
26,22,2014-12-21,28-083,BRK,,DET,W (+5),0,11:15,0,2,.000,0,0,,0,0,,1,2,3,1,0,0,1,3,0,-1.6,+5,jordaje01
29,23,2014-12-27,28-089,BRK,,IND,L (-25),0,4:45,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-15,jordaje01
31,24,2014-12-30,28-092,BRK,@,CHI,W (+14),0,11:22,3,4,.750,0,0,,0,0,,2,0,2,0,0,1,0,2,6,5.7,-1,jordaje01
36,25,2015-01-09,28-102,BRK,,PHI,L (-2),0,9:46,1,1,1.000,0,0,,3,4,.750,1,2,3,1,0,0,1,3,5,4.1,-6,jordaje01
37,26,2015-01-10,28-103,BRK,@,DET,L (-5),0,5:45,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,0.9,+1,jordaje01
38,27,2015-01-12,28-105,BRK,,HOU,L (-14),0,2:23,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+2,jordaje01
39,28,2015-01-14,28-107,BRK,,MEM,L (-11),0,6:58,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,2,2.2,+13,jordaje01
40,29,2015-01-16,28-109,BRK,@,WAS,W (+22),0,2:15,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,1.6,+1,jordaje01
42,30,2015-01-21,28-114,BRK,@,SAC,W (+3),0,2:01,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,+2,jordaje01
43,31,2015-01-22,28-115,BRK,@,LAC,L (-39),0,21:10,4,8,.500,0,0,,3,4,.750,7,4,11,0,0,1,1,1,11,12.0,-1,jordaje01
44,32,2015-01-24,28-117,BRK,@,UTA,L (-35),0,13:36,2,4,.500,0,0,,0,0,,1,2,3,1,0,2,1,1,4,4.0,-12,jordaje01
47,33,2015-02-02,28-126,BRK,,LAC,W (+2),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,jordaje01
48,34,2015-02-04,28-128,BRK,@,TOR,W (+16),0,1:44,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+1,jordaje01
50,35,2015-02-07,28-131,BRK,@,WAS,L (-37),0,21:15,3,4,.750,0,0,,3,3,1.000,1,2,3,1,0,0,0,3,9,8.2,-14,jordaje01
52,36,2015-02-10,28-134,BRK,@,MEM,L (-9),0,20:07,2,5,.400,0,0,,2,3,.667,2,4,6,2,1,0,1,4,6,5.3,+12,jordaje01
53,37,2015-02-20,28-144,BRK,@,LAL,W (+9),0,2:42,0,4,.000,0,0,,0,0,,2,0,2,0,0,0,0,1,0,-1.8,-3,jordaje01
59,38,2015-03-04,28-156,BRK,,CHO,L (-24),0,9:03,2,6,.333,0,0,,2,2,1.000,2,2,4,0,0,0,0,1,6,4.2,+3,jordaje01
62,39,2015-03-10,28-162,BRK,,NOP,L (-20),0,6:06,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,1,0,0.9,+3,jordaje01
65,40,2015-03-16,28-168,BRK,@,MIN,W (+16),0,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+1,jordaje01
66,41,2015-03-18,28-170,BRK,@,CLE,L (-25),0,3:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,jordaje01
76,42,2015-04-04,28-187,BRK,@,ATL,L (-32),0,8:15,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,2,1.5,-2,jordaje01
78,43,2015-04-10,28-193,BRK,,WAS,W (+37),0,3:54,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,2.0,+7,jordaje01
80,44,2015-04-13,28-196,BRK,,CHI,L (-27),0,5:10,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,3.3,+1,jordaje01
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-28,23-069,SAS,,DAL,W (+1),0,16:42,3,4,.750,1,2,.500,0,0,,0,1,1,2,0,0,0,1,7,6.7,+6,josepco01
2,2,2014-10-31,23-072,SAS,@,PHO,L (-5),0,14:13,3,6,.500,0,2,.000,1,2,.500,1,4,5,1,0,1,0,3,7,5.7,-2,josepco01
3,3,2014-11-05,23-077,SAS,,ATL,W (+2),0,13:41,3,6,.500,1,2,.500,3,3,1.000,2,0,2,0,0,0,1,1,10,7.0,-2,josepco01
4,4,2014-11-06,23-078,SAS,@,HOU,L (-17),0,21:31,9,11,.818,0,1,.000,0,0,,0,1,1,0,0,0,3,1,18,10.8,0,josepco01
5,5,2014-11-08,23-080,SAS,,NOP,L (-1),0,15:41,1,7,.143,0,1,.000,1,2,.500,0,1,1,3,0,1,0,4,3,-0.4,-5,josepco01
6,6,2014-11-10,23-082,SAS,@,LAC,W (+4),0,16:03,0,4,.000,0,2,.000,0,0,,0,3,3,1,2,0,0,1,0,0.4,+4,josepco01
7,7,2014-11-11,23-083,SAS,@,GSW,W (+13),0,19:56,5,7,.714,0,0,,1,2,.500,0,0,0,4,2,0,0,3,11,11.3,+9,josepco01
8,8,2014-11-14,23-086,SAS,@,LAL,W (+13),0,25:40,5,10,.500,1,2,.500,3,4,.750,0,3,3,4,1,0,2,2,14,10.5,+10,josepco01
9,9,2014-11-15,23-087,SAS,@,SAC,L (-3),0,15:36,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,1,0,0,0.3,-3,josepco01
