<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,20,2014-12-05,25-094,PHO,@,DAL,W (+12),0,22:36,5,9,.556,1,2,.500,0,0,,0,5,5,1,0,0,1,3,11,6.7,-2
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-06,25-095,PHO,@,HOU,L (-5),0,25:35,2,9,.222,1,3,.333,1,2,.500,2,3,5,1,3,1,0,0,6,6.8,+2
22,22,2014-12-08,25-097,PHO,@,LAC,L (-1),0,23:04,4,8,.500,3,5,.600,0,0,,1,3,4,2,0,0,2,1,11,7.6,0
23,23,2014-12-09,25-098,PHO,,MIA,L (-6),0,37:01,10,13,.769,5,6,.833,0,0,,2,3,5,4,2,0,2,3,25,23.8,+11
24,24,2014-12-12,25-101,PHO,,DET,L (-2),0,20:50,3,9,.333,1,4,.250,3,3,1.000,0,1,1,1,0,0,0,2,10,5.1,-6
25,25,2014-12-14,25-103,PHO,@,OKC,L (-24),0,18:43,4,13,.308,1,6,.167,1,1,1.000,0,1,1,3,2,0,0,1,10,6.5,-9
26,26,2014-12-15,25-104,PHO,,MIL,L (-2),0,14:26,2,6,.333,1,4,.250,0,0,,2,4,6,0,1,0,2,2,5,2.4,-11
27,27,2014-12-17,25-106,PHO,@,CHO,W (+5),0,24:48,4,5,.800,0,0,,0,0,,0,5,5,2,0,0,0,3,8,7.8,+4
28,28,2014-12-20,25-109,PHO,@,NYK,W (+9),0,15:48,3,7,.429,3,5,.600,0,0,,0,1,1,0,0,0,1,1,9,4.2,+7
29,29,2014-12-21,25-110,PHO,@,WAS,W (+12),0,29:12,5,9,.556,1,2,.500,0,2,.000,0,0,0,1,0,0,1,2,11,4.8,+10
30,30,2014-12-23,25-112,PHO,,DAL,W (+9),0,17:31,2,6,.333,0,1,.000,0,0,,2,4,6,0,0,1,0,4,4,2.3,-1
31,31,2014-12-26,25-115,PHO,@,SAC,W (+9),0,28:16,7,12,.583,6,7,.857,0,0,,3,6,9,5,1,0,1,0,20,21.8,+12
32,32,2014-12-28,25-117,PHO,@,LAL,W (+9),0,18:26,4,6,.667,0,0,,1,2,.500,0,4,4,1,0,0,0,1,9,7.5,+3
33,33,2014-12-30,25-119,PHO,@,NOP,L (-4),0,20:21,3,7,.429,2,5,.400,0,0,,2,1,3,1,3,1,1,3,8,8.2,-1
34,34,2014-12-31,25-120,PHO,@,OKC,L (-3),0,31:08,7,11,.636,2,3,.667,2,2,1.000,1,4,5,1,1,1,0,6,18,15.0,0
35,35,2015-01-02,25-122,PHO,,PHI,W (+16),0,24:36,4,8,.500,1,3,.333,0,0,,2,3,5,3,0,0,3,2,9,5.6,+3
36,36,2015-01-04,25-124,PHO,,TOR,W (+16),0,21:25,5,10,.500,0,4,.000,0,0,,0,0,0,1,0,0,0,3,10,4.5,+5
37,37,2015-01-06,25-126,PHO,@,MIL,W (+6),0,19:28,2,6,.333,0,3,.000,2,3,.667,0,0,0,2,0,0,1,1,6,2.2,+1
38,38,2015-01-07,25-127,PHO,@,MIN,W (+2),0,14:29,4,7,.571,0,1,.000,0,0,,0,0,0,0,0,0,1,2,8,2.9,-5
39,39,2015-01-09,25-129,PHO,@,SAS,L (-5),0,16:40,3,6,.500,0,2,.000,0,0,,1,3,4,2,2,0,2,3,6,4.8,-18
40,40,2015-01-11,25-131,PHO,@,MEM,L (-12),0,27:02,5,12,.417,1,5,.200,0,1,.000,4,5,9,1,1,0,1,0,11,9.2,-9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-13,25-133,PHO,,CLE,W (+7),0,20:19,4,9,.444,1,3,.333,0,0,,2,0,2,2,1,0,1,2,9,6.3,0
42,42,2015-01-16,25-136,PHO,,MIN,W (+11),0,18:31,4,7,.571,0,2,.000,0,0,,1,5,6,1,0,0,2,2,8,4.8,+8
43,43,2015-01-19,25-139,PHO,,LAL,W (+15),0,18:49,2,7,.286,2,5,.400,1,2,.500,0,3,3,1,0,1,0,2,7,4.0,+7
44,44,2015-01-21,25-141,PHO,,POR,W (+5),0,17:49,4,7,.571,1,4,.250,0,0,,0,1,1,1,1,0,2,2,9,4.9,+18
45,45,2015-01-23,25-143,PHO,,HOU,L (-2),0,23:48,5,9,.556,2,3,.667,0,0,,1,5,6,2,2,0,1,4,12,10.7,+3
46,46,2015-01-25,25-145,PHO,,LAC,L (-20),0,20:08,5,7,.714,2,3,.667,1,2,.500,0,3,3,1,0,1,0,5,13,10.0,-16
47,47,2015-01-28,25-148,PHO,,WAS,W (+8),0,17:44,2,6,.333,2,5,.400,0,0,,0,3,3,2,2,0,0,3,6,5.7,+13
