Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
34,32,2015-01-05,32-184,MEM,,NYK,W (+22),0,15:28,2,7,.286,1,3,.333,2,3,.667,0,1,1,3,1,0,1,0,7,4.9,-3,udrihbe01
35,33,2015-01-07,32-186,MEM,@,ATL,L (-10),0,18:27,1,4,.250,0,0,,2,2,1.000,0,3,3,2,2,0,2,2,4,3.1,+4,udrihbe01
36,34,2015-01-09,32-188,MEM,@,NOP,L (-11),0,15:17,4,7,.571,1,2,.500,0,0,,0,1,1,1,0,0,0,1,9,6.3,-3,udrihbe01
37,35,2015-01-11,32-190,MEM,,PHO,W (+12),0,16:23,4,6,.667,1,2,.500,0,0,,2,1,3,2,1,0,2,2,9,7.7,-10,udrihbe01
38,36,2015-01-14,32-193,MEM,@,BRK,W (+11),0,17:55,2,6,.333,0,1,.000,2,2,1.000,0,3,3,2,1,0,0,1,6,5.5,-4,udrihbe01
39,37,2015-01-16,32-195,MEM,@,ORL,W (+10),1,28:50,6,12,.500,1,3,.333,2,2,1.000,0,1,1,5,0,1,1,4,15,10.9,+5,udrihbe01
40,38,2015-01-17,32-196,MEM,,POR,W (+4),1,29:26,7,7,1.000,0,0,,3,4,.750,0,7,7,3,0,1,3,1,17,16.0,+14,udrihbe01
41,39,2015-01-19,32-198,MEM,,DAL,L (-8),0,16:40,2,5,.400,0,0,,0,0,,0,0,0,1,0,0,1,3,4,-0.2,-4,udrihbe01
42,40,2015-01-21,32-200,MEM,,TOR,W (+6),0,18:33,2,5,.400,0,0,,2,2,1.000,0,1,1,0,0,0,1,2,6,1.8,+4,udrihbe01
43,41,2015-01-24,32-203,MEM,,PHI,W (+18),0,27:28,3,9,.333,0,1,.000,0,0,,2,2,4,5,2,0,1,1,6,7.0,+6,udrihbe01
44,42,2015-01-26,32-205,MEM,,ORL,W (+9),0,26:03,6,8,.750,1,2,.500,2,2,1.000,1,1,2,5,4,0,1,1,15,18.9,+5,udrihbe01
