<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,,2015-01-16,28-257,IND,,DET,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2015-01-17,28-258,IND,,CHO,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2015-01-19,28-260,IND,,HOU,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2015-01-21,28-262,IND,,ATL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,6,2015-01-23,28-264,IND,@,MIA,L (-2),0,19:38,5,10,.500,0,2,.000,3,4,.750,0,0,0,2,1,0,0,1,13,9.6,+14
46,7,2015-01-25,28-266,IND,@,ORL,W (+7),0,20:17,7,15,.467,1,6,.167,2,3,.667,1,5,6,3,1,1,0,1,17,14.5,+6
47,8,2015-01-27,28-268,IND,,TOR,L (-13),0,20:04,5,14,.357,2,5,.400,1,2,.500,1,1,2,3,1,0,1,1,13,7.5,+7
48,9,2015-01-29,28-270,IND,,NYK,W (+21),0,12:17,2,5,.400,0,1,.000,4,4,1.000,0,2,2,3,0,0,1,0,8,7.0,+13
49,10,2015-01-31,28-272,IND,,SAC,L (-5),0,22:06,6,15,.400,2,8,.250,0,0,,0,6,6,4,1,0,2,2,14,8.7,+14
50,11,2015-02-04,28-276,IND,,DET,W (+5),1,25:31,8,12,.667,1,2,.500,3,8,.375,0,3,3,6,0,1,1,2,20,16.8,+13
51,12,2015-02-06,28-278,IND,,CLE,W (+4),1,26:24,3,8,.375,2,3,.667,12,15,.800,2,1,3,7,1,1,4,2,20,17.9,-5
52,13,2015-02-08,28-280,IND,@,CHO,W (+1),1,27:00,4,10,.400,1,4,.250,2,2,1.000,0,1,1,3,2,0,2,5,11,6.0,-6
53,14,2015-02-09,28-281,IND,,SAS,L (-2),1,28:47,3,7,.429,1,2,.500,0,0,,0,4,4,5,0,1,0,1,7,8.3,-8
54,15,2015-02-11,28-283,IND,@,NOP,W (+13),1,28:50,6,11,.545,4,5,.800,1,1,1.000,0,3,3,9,2,0,1,1,17,19.5,+26
55,16,2015-02-20,28-292,IND,@,PHI,W (+11),1,22:58,2,8,.250,0,1,.000,3,4,.750,0,4,4,4,0,0,2,1,7,3.4,0
56,17,2015-02-22,28-294,IND,,GSW,W (+6),1,30:11,4,13,.308,2,3,.667,2,3,.667,1,1,2,2,0,0,1,5,12,3.5,0
57,18,2015-02-24,28-296,IND,@,OKC,L (-13),1,29:23,5,12,.417,1,5,.200,2,2,1.000,0,2,2,8,3,0,1,2,13,14.0,-6
58,19,2015-02-27,28-299,IND,,CLE,W (+7),1,34:17,4,15,.267,0,5,.000,7,8,.875,1,9,10,12,2,1,2,4,15,16.6,+8
59,20,2015-03-01,28-301,IND,,PHI,W (+20),1,32:15,8,16,.500,1,5,.200,0,2,.000,1,8,9,4,2,0,2,1,17,13.7,+15
60,21,2015-03-04,28-304,IND,,NYK,W (+23),1,27:16,8,13,.615,3,5,.600,2,2,1.000,0,3,3,6,1,0,1,1,21,19.8,+15
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,22,2015-03-06,28-306,IND,,CHI,W (+14),1,24:14,3,9,.333,1,2,.500,0,0,,2,1,3,6,1,1,1,5,7,6.5,+4
62,23,2015-03-07,28-307,IND,@,NYK,W (+6),1,28:35,4,11,.364,1,5,.200,6,6,1.000,2,3,5,3,1,0,1,4,15,11.7,0
63,24,2015-03-10,28-310,IND,,ORL,W (+32),1,25:21,5,14,.357,2,8,.250,1,2,.500,0,1,1,6,1,0,1,3,13,8.1,+5
64,25,2015-03-12,28-312,IND,,MIL,W (+6),1,31:23,6,16,.375,2,7,.286,3,4,.750,0,4,4,5,2,0,4,5,17,8.5,+4
65,26,2015-03-14,28-314,IND,,BOS,L (-4),1,34:46,11,18,.611,2,7,.286,6,6,1.000,1,4,5,8,1,0,3,3,30,26.1,+7
66,27,2015-03-16,28-316,IND,,TOR,L (-19),1,33:35,9,15,.600,1,3,.333,4,5,.800,0,2,2,2,1,0,1,5,23,15.7,-15
67,28,2015-03-18,28-318,IND,@,CHI,L (-17),1,30:23,4,9,.444,0,4,.000,2,4,.500,0,4,4,2,1,0,3,1,10,4.7,-6
68,29,2015-03-20,28-320,IND,@,CLE,L (-3),1,32:42,9,15,.600,4,8,.500,2,2,1.000,1,0,1,3,0,0,2,2,24,17.1,-10
69,30,2015-03-21,28-321,IND,,BRK,L (-12),1,32:17,8,15,.533,0,2,.000,2,3,.667,1,3,4,9,0,0,1,6,18,14.8,+5
70,31,2015-03-23,28-323,IND,,HOU,L (-10),1,35:43,9,15,.600,2,6,.333,0,1,.000,1,5,6,3,3,3,1,4,20,19.5,-1
71,32,2015-03-25,28-325,IND,@,WAS,W (+2),1,42:39,12,24,.500,0,4,.000,5,5,1.000,2,5,7,9,1,1,4,3,29,22.7,+6
72,33,2015-03-26,28-326,IND,@,MIL,L (-4),1,33:41,7,12,.583,6,10,.600,4,5,.800,1,2,3,5,1,0,5,4,24,17.2,+3
73,34,2015-03-29,28-329,IND,,DAL,W (+5),1,36:23,6,12,.500,2,5,.400,0,0,,0,4,4,5,0,1,1,0,14,12.4,+8
74,35,2015-03-31,28-331,IND,@,BRK,L (-5),1,31:55,10,17,.588,4,8,.500,4,5,.800,0,6,6,3,0,0,0,1,28,23.2,-22
75,36,2015-04-01,28-332,IND,@,BOS,L (-13),1,36:02,9,11,.818,3,4,.750,0,0,,0,6,6,6,0,0,1,4,21,20.3,-6
76,37,2015-04-03,28-334,IND,,CHO,W (+19),1,28:37,2,11,.182,0,1,.000,0,0,,0,6,6,10,3,0,2,3,4,5.7,+11
77,38,2015-04-05,28-336,IND,,MIA,W (+23),1,25:43,0,5,.000,0,2,.000,3,4,.750,1,5,6,5,2,0,0,2,3,6.0,+11
78,39,2015-04-08,28-339,IND,@,NYK,W (+16),1,26:39,7,11,.636,1,2,.500,5,6,.833,0,6,6,5,3,0,2,1,20,20.6,+29
79,40,2015-04-10,28-341,IND,@,DET,W (+4),1,36:23,2,6,.333,1,2,.500,8,8,1.000,0,3,3,9,1,0,1,3,13,15.6,+3
80,41,2015-04-12,28-343,IND,,OKC,W (+12),1,39:31,6,10,.600,2,3,.667,5,7,.714,0,3,3,7,1,0,1,5,19,17.4,+14
