Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
2,2,2014-11-01,31-256,CHO,,MEM,L (-2),0,10:20,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,3,2,0,-4.2,-7,maxieja01
3,3,2014-11-02,31-257,CHO,@,NYK,L (-3),0,14:31,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,4,2,1.1,+5,maxieja01
4,4,2014-11-04,31-259,CHO,@,NOP,L (-9),0,13:45,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,0,1,1,5,2.2,+8,maxieja01
5,5,2014-11-05,31-260,CHO,,MIA,W (+7),0,16:01,2,5,.400,0,0,,0,0,,0,1,1,0,1,1,0,2,4,2.5,+6,maxieja01
6,6,2014-11-07,31-262,CHO,,ATL,W (+3),0,15:53,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,3,4,1.8,-1,maxieja01
7,7,2014-11-09,31-264,CHO,@,LAL,L (-15),0,11:32,2,3,.667,0,0,,0,0,,1,1,2,0,1,0,0,1,4,4.3,+6,maxieja01
8,8,2014-11-11,31-266,CHO,@,POR,L (-2),0,12:11,0,1,.000,0,0,,0,0,,1,0,1,0,0,1,1,1,0,-0.7,+2,maxieja01
10,9,2014-11-15,31-270,CHO,@,GSW,L (-25),0,14:04,0,2,.000,0,0,,0,2,.000,1,1,2,0,0,0,0,1,0,-1.6,-2,maxieja01
11,10,2014-11-17,31-272,CHO,,DAL,L (-27),0,6:30,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0,maxieja01
12,11,2014-11-19,31-274,CHO,@,IND,L (-2),0,13:32,4,6,.667,0,0,,0,0,,4,2,6,0,0,1,0,1,8,9.1,-5,maxieja01
13,12,2014-11-21,31-276,CHO,,ORL,L (-5),0,3:53,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-8,maxieja01
16,13,2014-11-26,31-281,CHO,,POR,L (-8),0,7:41,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-7,maxieja01
17,14,2014-11-28,31-283,CHO,,GSW,L (-5),0,15:11,1,4,.250,0,0,,0,0,,1,1,2,1,1,0,0,0,2,2.3,-1,maxieja01
18,15,2014-11-29,31-284,CHO,@,ATL,L (-30),0,18:01,1,7,.143,0,0,,0,0,,0,3,3,0,0,0,0,0,2,-1.6,0,maxieja01
27,16,2014-12-20,31-305,CHO,,UTA,W (+18),0,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,maxieja01
28,17,2014-12-22,31-307,CHO,,DEN,W (+28),0,5:34,2,2,1.000,0,0,,1,2,.500,0,3,3,0,0,0,0,0,5,4.9,+1,maxieja01
30,18,2014-12-26,31-311,CHO,@,OKC,L (-23),0,8:07,0,2,.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,1,1.2,+1,maxieja01
33,19,2014-12-31,31-316,CHO,@,HOU,L (-19),0,22:18,2,4,.500,0,0,,0,0,,1,2,3,0,1,0,0,2,4,3.5,-8,maxieja01
34,20,2015-01-02,31-318,CHO,,CLE,L (-4),0,17:18,1,4,.250,0,0,,6,10,.600,1,4,5,0,0,1,0,2,8,5.8,-4,maxieja01
35,21,2015-01-03,31-319,CHO,@,ORL,W (+8),0,29:19,1,3,.333,0,0,,1,2,.500,5,3,8,0,0,1,0,5,3,4.0,+11,maxieja01
36,22,2015-01-05,31-321,CHO,@,BOS,W (+9),0,15:30,0,0,,0,0,,0,0,,1,1,2,0,0,1,1,4,0,-0.9,-2,maxieja01
37,23,2015-01-07,31-323,CHO,,NOP,W (+4),0,14:49,3,5,.600,0,0,,3,5,.600,3,1,4,0,0,1,0,1,9,8.6,+6,maxieja01
38,24,2015-01-08,31-324,CHO,@,TOR,W (+8),0,20:53,3,5,.600,0,0,,0,0,,0,2,2,1,0,1,1,1,6,4.3,-4,maxieja01
39,25,2015-01-10,31-326,CHO,@,NYK,W (+28),0,27:09,2,6,.333,0,0,,3,3,1.000,2,1,3,1,1,2,0,2,7,7.6,-3,maxieja01
40,26,2015-01-14,31-330,CHO,,SAS,L (-5),0,17:31,1,4,.250,0,0,,1,2,.500,4,1,5,0,2,1,0,0,3,6.0,+4,maxieja01
41,27,2015-01-17,31-333,CHO,,IND,W (+9),0,15:48,0,3,.000,0,0,,0,0,,1,4,5,0,1,1,0,1,0,1.1,+5,maxieja01
44,28,2015-01-23,31-339,CHO,@,CLE,L (-39),0,9:03,0,0,,0,0,,1,2,.500,2,1,3,1,0,0,0,2,1,2.2,+4,maxieja01
45,29,2015-01-24,31-340,CHO,,NYK,W (+5),0,10:44,1,3,.333,0,0,,2,4,.500,2,0,2,0,0,1,1,4,4,1.0,+8,maxieja01
46,30,2015-01-28,31-344,CHO,@,SAS,L (-9),0,16:01,2,5,.400,0,0,,0,0,,1,1,2,0,0,0,0,1,4,1.9,-22,maxieja01
47,31,2015-01-31,31-347,CHO,@,DEN,W (+18),0,20:13,6,10,.600,0,0,,2,2,1.000,2,5,7,0,1,4,0,1,14,15.7,+11,maxieja01
48,32,2015-02-02,31-349,CHO,@,WAS,W (+4),0,16:14,2,3,.667,0,0,,0,0,,1,0,1,1,0,1,2,2,4,2.0,-11,maxieja01
49,33,2015-02-05,31-352,CHO,,WAS,W (+7),0,20:39,3,4,.750,0,0,,5,6,.833,2,6,8,0,1,7,0,2,11,17.3,+11,maxieja01
50,34,2015-02-07,31-354,CHO,@,PHI,L (-8),0,11:15,1,3,.333,0,0,,3,3,1.000,3,2,5,0,0,0,0,5,5,4.0,-6,maxieja01
51,35,2015-02-08,31-355,CHO,,IND,L (-1),0,11:18,1,1,1.000,0,0,,1,2,.500,0,2,2,0,0,1,2,3,3,0.4,-10,maxieja01
52,36,2015-02-10,31-357,CHO,,DET,L (-28),0,12:20,1,6,.167,0,0,,0,0,,1,1,2,1,0,1,0,1,2,0.2,-11,maxieja01
53,37,2015-02-21,32-003,CHO,,OKC,L (-7),0,14:20,1,3,.333,0,0,,1,2,.500,0,1,1,0,0,4,1,2,3,2.2,-5,maxieja01
54,38,2015-02-22,32-004,CHO,@,DAL,L (-11),0,7:25,1,2,.500,0,0,,0,1,.000,3,0,3,0,1,1,0,0,2,4.4,-9,maxieja01
55,39,2015-02-25,32-007,CHO,@,CHI,W (+12),0,14:40,2,5,.400,0,0,,3,4,.750,2,0,2,0,1,0,0,3,7,5.1,+6,maxieja01
56,40,2015-02-27,32-009,CHO,@,BOS,L (-8),0,13:07,0,1,.000,0,0,,0,0,,1,4,5,0,0,0,1,1,0,-0.2,-10,maxieja01
59,41,2015-03-04,32-014,CHO,@,BRK,W (+24),0,6:21,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3,-8,maxieja01
61,42,2015-03-08,32-018,CHO,@,DET,W (+7),0,5:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+7,maxieja01
62,43,2015-03-09,32-019,CHO,,WAS,L (-26),0,14:49,1,3,.333,0,0,,2,2,1.000,1,2,3,0,0,2,0,0,4,5.0,-4,maxieja01
63,44,2015-03-11,32-021,CHO,,SAC,L (-7),0,14:12,0,2,.000,0,0,,0,2,.000,3,1,4,0,0,0,1,2,0,-1.6,-9,maxieja01
64,45,2015-03-13,32-023,CHO,,CHI,W (+10),0,25:08,4,6,.667,0,0,,2,4,.500,4,3,7,0,0,3,0,5,10,10.4,+9,maxieja01
65,46,2015-03-16,32-026,CHO,@,UTA,L (-28),0,16:36,1,3,.333,0,0,,0,0,,0,4,4,0,0,1,1,0,2,1.2,-4,maxieja01
66,47,2015-03-17,32-027,CHO,@,LAC,L (-7),0,17:41,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,2,0,0,-1.3,-12,maxieja01
69,48,2015-03-23,32-033,CHO,@,CHI,L (-12),0,11:24,0,4,.000,0,0,,0,0,,3,0,3,0,0,0,0,6,0,-3.1,-14,maxieja01
70,49,2015-03-25,32-035,CHO,,BRK,L (-3),0,11:58,0,1,.000,0,0,,0,0,,1,1,2,0,0,2,0,0,0,1.7,0,maxieja01
71,50,2015-03-27,32-037,CHO,@,WAS,L (-3),0,14:12,0,2,.000,0,0,,0,3,.000,0,2,2,0,1,0,0,3,0,-2.2,-7,maxieja01
72,51,2015-03-28,32-038,CHO,,ATL,W (+15),0,11:36,1,2,.500,0,0,,0,0,,1,2,3,4,0,1,1,3,2,3.6,-6,maxieja01
73,52,2015-03-30,32-040,CHO,,BOS,L (-12),0,17:37,3,5,.600,0,0,,0,0,,3,5,8,3,0,0,0,0,6,9.4,-6,maxieja01
74,53,2015-04-01,32-042,CHO,,DET,W (+24),0,16:52,0,3,.000,0,0,,0,0,,2,6,8,0,0,0,0,1,0,0.7,+17,maxieja01
75,54,2015-04-03,32-044,CHO,@,IND,L (-19),0,18:58,0,2,.000,0,0,,0,0,,4,3,7,2,1,0,1,3,0,2.5,-23,maxieja01
76,55,2015-04-04,32-045,CHO,,PHI,W (+1),0,15:57,2,2,1.000,0,0,,0,0,,1,5,6,0,0,1,1,2,4,4.5,-7,maxieja01
77,56,2015-04-07,32-048,CHO,@,MIA,L (-5),0,10:56,2,7,.286,0,0,,0,0,,2,3,5,0,0,0,1,3,4,0.0,-6,maxieja01
78,57,2015-04-08,32-049,CHO,,TOR,L (-18),0,17:58,2,3,.667,0,0,,0,0,,2,0,2,0,1,0,0,1,4,4.7,0,maxieja01
79,58,2015-04-10,32-051,CHO,@,ATL,L (-24),0,17:07,6,7,.857,0,0,,1,2,.500,3,1,4,0,1,0,1,1,13,12.1,-9,maxieja01
80,59,2015-04-12,32-053,CHO,@,DET,L (-39),0,18:36,2,5,.400,0,0,,0,0,,2,2,4,0,0,1,0,0,4,4.0,-13,maxieja01
81,60,2015-04-13,32-054,CHO,,HOU,L (-10),0,17:49,2,4,.500,0,0,,1,2,.500,2,7,9,1,1,0,3,2,5,4.0,-13,maxieja01
82,61,2015-04-15,32-056,CHO,@,TOR,L (-5),0,16:05,1,1,1.000,0,0,,0,0,,1,5,6,0,1,0,1,0,2,3.9,+2,maxieja01
1,1,2014-10-29,26-358,MIL,@,CHO,L (-2),0,24:14,6,10,.600,3,6,.500,2,2,1.000,1,2,3,3,0,1,1,4,17,13.9,+5,mayooj01
2,2,2014-10-31,26-360,MIL,,PHI,W (+12),0,28:05,8,13,.615,5,7,.714,4,6,.667,1,2,3,5,1,0,1,3,25,21.9,+10,mayooj01
3,3,2014-11-01,26-361,MIL,@,WAS,L (-11),0,19:21,1,7,.143,0,2,.000,1,1,1.000,1,1,2,1,1,0,1,5,3,-1.8,-6,mayooj01
4,4,2014-11-04,26-364,MIL,@,IND,W (+6),0,21:57,3,5,.600,1,3,.333,2,2,1.000,1,2,3,5,3,0,3,0,9,11.5,+7,mayooj01
5,5,2014-11-05,27-000,MIL,,CHI,L (-9),0,26:31,3,12,.250,1,6,.167,2,2,1.000,1,0,1,3,1,0,3,6,9,0.2,-1,mayooj01
6,6,2014-11-07,27-002,MIL,@,DET,L (-3),0,19:17,2,9,.222,1,4,.250,1,1,1.000,0,1,1,3,1,1,0,1,6,4.2,+3,mayooj01
7,7,2014-11-08,27-003,MIL,,MEM,W (+1),0,28:08,4,11,.364,1,5,.200,0,0,,0,4,4,7,1,0,4,1,9,5.6,-1,mayooj01
8,8,2014-11-11,27-006,MIL,,OKC,W (+7),0,29:02,6,15,.400,2,7,.286,5,7,.714,1,3,4,1,0,0,0,2,19,11.6,+4,mayooj01
9,9,2014-11-14,27-009,MIL,@,ORL,L (-16),0,25:35,3,11,.273,0,4,.000,0,0,,0,0,0,3,0,0,1,0,6,0.6,-14,mayooj01
10,10,2014-11-16,27-011,MIL,@,MIA,W (+7),0,18:13,4,8,.500,0,3,.000,0,1,.000,0,2,2,3,1,0,1,1,8,5.9,-2,mayooj01
11,11,2014-11-18,27-013,MIL,,NYK,W (+4),0,23:27,3,6,.500,1,1,1.000,4,4,1.000,0,0,0,6,1,0,3,4,11,8.6,-1,mayooj01
12,12,2014-11-19,27-014,MIL,@,BRK,W (+4),0,38:40,7,17,.412,3,8,.375,4,4,1.000,2,5,7,2,1,0,1,4,21,14.6,+13,mayooj01
13,13,2014-11-21,27-016,MIL,@,TOR,L (-42),0,9:04,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,1,0,-0.7,-4,mayooj01
14,14,2014-11-22,27-017,MIL,,WAS,L (-11),0,23:14,4,9,.444,0,2,.000,2,2,1.000,0,1,1,4,1,1,0,2,10,9.3,-9,mayooj01
15,15,2014-11-25,27-020,MIL,,DET,W (+12),1,28:01,5,10,.500,3,4,.750,4,4,1.000,0,2,2,3,1,0,2,1,17,13.3,+14,mayooj01
16,16,2014-11-26,27-021,MIL,@,MIN,W (+17),1,29:28,3,11,.273,2,7,.286,2,2,1.000,1,2,3,3,1,1,5,4,10,2.0,+11,mayooj01
17,17,2014-11-28,27-023,MIL,@,DET,W (+16),1,26:36,4,11,.364,0,5,.000,0,1,.000,1,2,3,3,1,1,0,2,8,5.8,-4,mayooj01
18,18,2014-11-29,27-024,MIL,,HOU,L (-14),1,21:57,2,10,.200,0,3,.000,2,2,1.000,1,1,2,1,0,0,0,2,6,0.7,-13,mayooj01
19,19,2014-12-02,27-027,MIL,@,CLE,L (-3),1,25:44,6,13,.462,0,4,.000,2,3,.667,0,3,3,5,1,1,2,3,14,9.8,-6,mayooj01
20,20,2014-12-03,27-028,MIL,,DAL,L (-2),1,26:41,3,7,.429,2,3,.667,4,6,.667,0,3,3,5,1,0,2,3,12,9.7,-8,mayooj01
21,21,2014-12-05,27-030,MIL,,MIA,W (+24),1,12:50,2,5,.400,0,1,.000,0,0,,0,0,0,1,0,0,1,3,4,-0.2,-4,mayooj01
22,22,2014-12-07,27-032,MIL,@,DAL,L (-23),1,24:48,5,14,.357,2,5,.400,0,0,,1,2,3,3,0,0,2,3,12,4.4,-11,mayooj01
23,23,2014-12-09,27-034,MIL,@,OKC,L (-13),1,29:08,6,13,.462,0,4,.000,6,6,1.000,1,3,4,0,0,0,2,6,18,8.5,-11,mayooj01
24,24,2014-12-13,27-038,MIL,,LAC,W (+5),1,11:18,3,5,.600,0,1,.000,0,0,,0,0,0,1,0,0,2,2,6,1.6,-5,mayooj01
25,25,2014-12-15,27-040,MIL,@,PHO,W (+2),1,24:58,3,4,.750,2,3,.667,4,4,1.000,1,3,4,0,0,0,6,3,12,4.8,-5,mayooj01
26,26,2014-12-17,27-042,MIL,@,POR,L (-7),1,36:05,4,12,.333,0,2,.000,4,6,.667,0,1,1,2,2,0,3,5,12,3.1,-9,mayooj01
27,27,2014-12-18,27-043,MIL,@,SAC,W (+1),1,23:24,7,13,.538,3,4,.750,2,2,1.000,0,2,2,1,1,0,3,5,19,10.0,-4,mayooj01
28,28,2014-12-20,27-045,MIL,@,LAC,L (-4),1,23:02,1,6,.167,0,2,.000,1,3,.333,0,1,1,3,0,0,2,4,3,-2.8,-4,mayooj01
29,29,2014-12-23,27-048,MIL,,CHO,L (-7),1,21:22,3,8,.375,1,2,.500,0,0,,0,3,3,3,1,0,2,2,7,3.8,-4,mayooj01
30,30,2014-12-26,27-051,MIL,@,ATL,W (+30),0,20:15,5,8,.625,1,2,.500,0,0,,1,4,5,3,0,0,2,2,11,8.6,+21,mayooj01
31,31,2014-12-27,27-052,MIL,,ATL,L (-5),0,24:14,4,11,.364,2,6,.333,2,2,1.000,0,3,3,4,0,1,3,0,12,7.3,+18,mayooj01
32,32,2014-12-29,27-054,MIL,@,CHO,W (+10),0,33:49,3,13,.231,2,6,.333,5,6,.833,0,5,5,2,0,0,3,3,13,3.4,+9,mayooj01
33,33,2014-12-31,27-056,MIL,@,CLE,W (+16),0,22:56,6,13,.462,3,6,.500,0,0,,0,3,3,4,2,1,0,5,15,12.7,-5,mayooj01
