Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
72,72,2015-03-27,25-069,BOS,@,NYK,W (+4),1,12:20,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,2,2,2,-1.2,-10,zellety01
73,73,2015-03-29,25-071,BOS,,LAC,L (-13),1,20:47,7,12,.583,0,0,,2,2,1.000,0,5,5,0,0,0,0,4,16,10.3,-6,zellety01
74,74,2015-03-30,25-072,BOS,@,CHO,W (+12),1,25:38,4,9,.444,0,0,,0,0,,1,5,6,2,0,0,0,2,8,6.1,+9,zellety01
75,75,2015-04-01,25-074,BOS,,IND,W (+13),1,23:37,8,9,.889,0,0,,3,3,1.000,0,3,3,3,1,0,1,3,19,17.7,+5,zellety01
76,76,2015-04-03,25-076,BOS,,MIL,L (-9),1,23:40,3,9,.333,0,0,,2,2,1.000,2,5,7,3,0,1,0,1,8,8.2,-5,zellety01
77,77,2015-04-04,25-077,BOS,@,TOR,W (+1),1,24:40,8,10,.800,0,0,,4,6,.667,2,7,9,3,0,0,0,5,20,19.0,+11,zellety01
78,78,2015-04-08,25-081,BOS,@,DET,W (+10),1,21:18,2,7,.286,0,0,,2,2,1.000,2,5,7,0,0,0,3,1,6,1.4,+6,zellety01
79,79,2015-04-10,25-083,BOS,@,CLE,W (+9),1,18:11,5,9,.556,0,0,,3,4,.750,1,5,6,3,1,0,0,3,13,12.4,+10,zellety01
80,80,2015-04-12,25-085,BOS,,CLE,W (+39),1,18:57,5,6,.833,0,0,,0,0,,0,5,5,0,0,0,0,2,10,8.5,+7,zellety01
81,81,2015-04-14,25-087,BOS,,TOR,W (+2),1,26:22,5,11,.455,0,0,,2,2,1.000,4,4,8,1,0,1,0,2,12,10.9,+20,zellety01
82,82,2015-04-15,25-088,BOS,@,MIL,W (+5),1,14:05,4,7,.571,0,0,,0,0,,2,1,3,1,0,0,0,1,8,6.7,-7,zellety01
