<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
67,63,2015-03-15,30-264,LAC,,HOU,L (-2),1,38:18,5,15,.333,3,9,.333,2,2,1.000,0,4,4,5,1,0,3,4,15,7.6,+5
68,64,2015-03-17,30-266,LAC,,CHO,W (+7),1,39:12,10,17,.588,0,4,.000,3,3,1.000,1,2,3,3,0,0,1,2,23,16.7,+8
69,65,2015-03-18,30-267,LAC,@,SAC,W (+11),1,38:19,9,16,.563,7,12,.583,2,2,1.000,0,2,2,4,1,0,0,1,27,23.4,+8
70,66,2015-03-20,30-269,LAC,,WAS,W (+14),1,34:35,9,15,.600,4,7,.571,4,4,1.000,0,2,2,2,0,0,0,0,26,21.1,+12
71,67,2015-03-22,30-271,LAC,,NOP,W (+7),1,29:39,7,16,.438,3,6,.500,3,3,1.000,0,0,0,2,1,0,0,2,20,13.2,+9
72,68,2015-03-25,30-274,LAC,@,NYK,W (+31),1,21:58,7,11,.636,2,4,.500,1,1,1.000,1,0,1,2,0,0,1,0,17,13.2,+33
73,69,2015-03-27,30-276,LAC,@,PHI,W (+21),1,29:20,8,14,.571,3,7,.429,0,0,,0,3,3,0,1,0,2,3,19,11.1,+27
74,70,2015-03-29,30-278,LAC,@,BOS,W (+13),1,32:40,11,15,.733,5,6,.833,0,0,,0,5,5,3,0,0,2,3,27,21.3,+20
75,71,2015-03-31,30-280,LAC,,GSW,L (-4),1,41:07,4,12,.333,1,6,.167,5,5,1.000,0,1,1,3,0,0,3,1,14,6.2,-8
76,72,2015-04-01,30-281,LAC,@,POR,W (+4),1,34:48,9,20,.450,5,9,.556,2,2,1.000,0,8,8,0,0,0,1,2,25,15.2,-1
77,73,2015-04-04,30-284,LAC,@,DEN,W (+15),1,32:06,8,17,.471,4,10,.400,5,6,.833,1,3,4,3,0,0,1,1,25,18.2,+21
78,74,2015-04-05,30-285,LAC,@,LAL,W (+28),1,21:14,4,6,.667,2,2,1.000,2,2,1.000,0,0,0,0,0,0,1,1,12,8.0,+15
79,75,2015-04-07,30-287,LAC,,LAL,W (+5),1,29:42,9,14,.643,4,6,.667,5,6,.833,0,0,0,2,2,1,0,1,27,24.1,+19
80,76,2015-04-11,30-291,LAC,,MEM,W (+8),1,32:33,7,14,.500,2,7,.286,2,2,1.000,0,1,1,0,1,1,0,1,18,12.6,+21
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,77,2015-04-13,30-293,LAC,,DEN,W (+7),1,32:48,7,16,.438,3,5,.600,3,3,1.000,0,1,1,2,1,0,3,1,20,10.9,+11
82,78,2015-04-14,30-294,LAC,@,PHO,W (+11),1,23:13,4,11,.364,2,6,.333,2,2,1.000,0,1,1,1,0,0,1,1,12,5.5,+20
