<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
62,,2015-03-07,33-355,ATL,,PHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,61,2015-03-09,33-357,ATL,,SAC,W (+25),1,30:56,7,9,.778,6,8,.750,0,1,.000,0,2,2,1,0,0,1,3,20,15.2,+16
64,62,2015-03-11,33-359,ATL,@,DEN,L (-13),1,25:56,6,8,.750,5,7,.714,1,1,1.000,0,3,3,0,1,1,2,0,18,15.4,-10
65,63,2015-03-13,33-361,ATL,@,PHO,W (+9),1,37:32,5,8,.625,3,4,.750,1,1,1.000,0,4,4,1,0,2,1,2,14,11.9,+18
66,64,2015-03-15,33-363,ATL,@,LAL,W (+5),1,10:01,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.1,0
67,,2015-03-16,33-364,ATL,,SAC,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,2015-03-18,34-001,ATL,,GSW,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,2015-03-20,34-003,ATL,,OKC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,65,2015-03-22,34-005,ATL,,SAS,L (-19),1,29:20,2,4,.500,2,3,.667,0,0,,0,3,3,2,1,1,5,2,6,2.2,-21
71,66,2015-03-25,34-008,ATL,@,ORL,W (+12),1,36:45,5,12,.417,3,9,.333,0,0,,0,8,8,2,2,2,0,2,13,13.0,+9
72,67,2015-03-27,34-010,ATL,,MIA,W (+13),1,33:26,3,6,.500,2,5,.400,0,0,,0,2,2,3,2,1,2,1,8,8.0,+6
73,,2015-03-28,34-011,ATL,,CHO,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,68,2015-03-30,34-013,ATL,,MIL,W (+13),1,33:37,4,10,.400,3,9,.333,0,0,,0,1,1,5,0,0,1,4,11,6.8,+5
75,69,2015-03-31,34-014,ATL,@,DET,L (-10),1,23:44,4,7,.571,3,4,.750,0,1,.000,0,3,3,2,0,0,3,0,11,6.6,-11
76,70,2015-04-04,34-018,ATL,,BRK,W (+32),1,22:04,3,6,.500,3,5,.600,1,1,1.000,0,2,2,3,1,0,0,0,10,10.7,+29
77,71,2015-04-07,34-021,ATL,,PHO,W (+27),1,26:38,2,9,.222,1,6,.167,0,0,,0,3,3,3,0,2,0,2,5,3.1,+20
78,72,2015-04-08,34-022,ATL,@,BRK,W (+3),1,33:02,3,6,.500,3,4,.750,0,0,,0,4,4,6,2,1,0,5,9,12.1,+25
79,73,2015-04-10,34-024,ATL,,CHO,W (+24),1,30:16,4,10,.400,3,7,.429,5,6,.833,0,5,5,3,1,0,1,1,16,13.4,+17
80,,2015-04-12,34-026,ATL,,WAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,74,2015-04-13,34-027,ATL,,NYK,L (-4),1,34:13,4,10,.400,4,9,.444,7,7,1.000,1,4,5,3,0,0,1,2,19,15.8,+6
82,75,2015-04-15,34-029,ATL,@,CHI,L (-6),1,21:12,3,6,.500,2,5,.400,1,1,1.000,0,4,4,1,0,0,1,2,9,6.1,+10
