Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
19,19,2014-12-05,33-142,MEM,,SAS,L (-6),1,29:40,4,11,.364,0,0,,2,2,1.000,2,6,8,0,1,0,3,3,10,3.9,-10,randoza01
20,20,2014-12-07,33-144,MEM,,MIA,W (+16),1,23:45,8,15,.533,0,0,,1,1,1.000,3,3,6,2,1,0,0,0,17,15.1,+6,randoza01
21,21,2014-12-09,33-146,MEM,,DAL,W (+9),1,32:10,6,18,.333,0,0,,5,6,.833,9,4,13,0,1,0,1,3,17,12.7,+14,randoza01
22,22,2014-12-12,33-149,MEM,,CHO,W (+6),1,42:37,7,12,.583,0,0,,6,9,.667,1,10,11,1,0,1,2,4,20,14.7,+11,randoza01
23,23,2014-12-13,33-150,MEM,@,PHI,W (+5),1,32:48,10,14,.714,0,0,,4,4,1.000,2,9,11,1,2,0,3,1,24,21.6,+23,randoza01
24,24,2014-12-16,33-153,MEM,,GSW,W (+7),1,26:00,8,12,.667,0,0,,1,2,.500,4,6,10,0,0,0,3,1,17,12.6,+6,randoza01
25,25,2014-12-17,33-154,MEM,@,SAS,W (+1),1,48:26,9,19,.474,0,0,,3,4,.750,6,15,21,1,2,0,1,3,21,20.1,+4,randoza01
26,26,2014-12-19,33-156,MEM,,CHI,L (-6),1,22:26,4,11,.364,0,0,,0,0,,5,7,12,1,0,0,0,2,8,7.4,-1,randoza01
36,27,2015-01-09,33-177,MEM,@,NOP,L (-11),1,30:53,4,9,.444,0,0,,3,4,.750,7,4,11,2,2,0,2,1,11,13.0,-9,randoza01
37,28,2015-01-11,33-179,MEM,,PHO,W (+12),1,42:21,11,16,.688,0,0,,5,6,.833,5,12,17,4,0,2,7,6,27,21.7,+19,randoza01
38,29,2015-01-14,33-182,MEM,@,BRK,W (+11),1,32:25,8,11,.727,0,0,,4,8,.500,5,9,14,3,1,0,0,2,20,22.4,+28,randoza01
39,30,2015-01-16,33-184,MEM,@,ORL,W (+10),1,34:58,6,15,.400,0,0,,6,7,.857,5,7,12,3,0,0,1,0,18,16.2,+7,randoza01
